Incident Datetime,Incident Date,Incident Time,Incident Year,Incident Day of Week,Report Datetime,Row ID,Incident ID,Incident Number,CAD Number,Report Type Code,Report Type Description,Filed Online,Incident Code,Incident Category,Incident Subcategory,Incident Description,Resolution,Intersection,CNN,Police District,Analysis Neighborhood,Supervisor District,Latitude,Longitude,point
2018/12/01 02:25:00 AM,2018/12/01,02:25,2018,Saturday,2018/12/01 08:00:00 AM,74356706241,743567,180906633,183350388,II,Initial,,06241,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, <$50",Open or Active,SACRAMENTO ST \ MAPLE ST,26947000,Richmond,Presidio Heights,2,37.78713699206239,-122.4552363524493,"(37.78713699206239, -122.4552363524493)"
2018/12/01 10:54:00 AM,2018/12/01,10:54,2018,Saturday,2018/12/01 11:11:00 AM,74359006243,743590,180906893,183351280,II,Initial,,06243,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, $200-$950",Open or Active,STEINER ST \ FULTON ST,26042000,Northern,Western Addition,5,37.777490366353746,-122.43321873935555,"(37.777490366353746, -122.43321873935555)"
2018/12/01 02:00:00 AM,2018/12/01,02:00,2018,Saturday,2018/12/01 07:00:00 AM,74359206244,743592,180905588,183343572,IS,Initial Supplement,,06244,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",Open or Active,MIDDLE WEST DR \ MARTIN LUTHER KING JR DR,27794000,Richmond,Golden Gate Park,1,37.76514159113103,-122.49835415155187,"(37.76514159113103, -122.49835415155187)"
2018/12/01 11:00:00 AM,2018/12/01,11:00,2018,Saturday,2018/12/01 11:08:00 AM,74360406244,743604,180906887,183351323,II,Initial,,06244,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",Open or Active,VISTA LN \ PARKRIDGE DR,32974000,Park,Twin Peaks,8,37.75235171503818,-122.44598442613956,"(37.75235171503818, -122.44598442613956)"
2018/12/01 11:30:00 AM,2018/12/01,11:30,2018,Saturday,2018/12/01 12:55:00 PM,74360806244,743608,180907051,183351729,II,Initial,,06244,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",Open or Active,GEARY BLVD \ PRESIDIO AVE,26834000,Richmond,Lone Mountain/USF,2,37.782488031626265,-122.4458205129012,"(37.782488031626265, -122.4458205129012)"
2018/12/01 12:30:00 PM,2018/12/01,12:30,2018,Saturday,2018/12/01 01:50:00 PM,74361306244,743613,180907142,183351950,II,Initial,,06244,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",Open or Active,CHURCH ST \ 18TH ST,25712000,Mission,Castro/Upper Market,8,37.7612895722579,-122.4283540660218,"(37.7612895722579, -122.4283540660218)"
2018/12/01 01:00:00 AM,2018/12/01,01:00,2018,Saturday,2018/12/01 01:52:00 PM,74362606222,743626,180907158,183351960,II,Initial,,06222,Larceny Theft,Larceny - From Vehicle,"Theft, From Unlocked Vehicle, $50-$200",Open or Active,SAN BRUNO AVE \ OLMSTEAD ST,20576000,Bayview,Portola,9,37.722832384254595,-122.40161258024654,"(37.722832384254595, -122.40161258024654)"
2018/12/01 10:32:00 AM,2018/12/01,10:32,2018,Saturday,2018/12/01 10:32:00 AM,74363306242,743633,180906871,183351221,II,Initial,,06242,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, $50-$200",Open or Active,WEBSTER ST \ POST ST,26591000,Northern,Japantown,5,37.78537264618818,-122.43136639807875,"(37.78537264618818, -122.43136639807875)"
2018/12/01 12:00:00 PM,2018/12/01,12:00,2018,Saturday,2018/12/01 04:09:00 PM,74363706222,743637,180907512,183352458,II,Initial,,06222,Larceny Theft,Larceny - From Vehicle,"Theft, From Unlocked Vehicle, $50-$200",Open or Active,SOUTH VAN NESS AVE \ 17TH ST,24139000,Mission,Mission,9,37.76357160254071,-122.41733240731715,"(37.76357160254071, -122.41733240731715)"
2018/12/01 02:35:00 PM,2018/12/01,14:35,2018,Saturday,2018/12/01 04:18:00 PM,74364006244,743640,180907556,183352496,II,Initial,,06244,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",Open or Active,BONNIE BRAE LN \ LAKESHORE DR,23316000,Taraval,Sunset/Parkside,7,37.72976975410381,-122.49715997096197,"(37.72976975410381, -122.49715997096197)"
2018/12/01 05:20:00 PM,2018/12/01,17:20,2018,Saturday,2018/12/01 05:20:00 PM,74365806244,743658,180617454,182284244,IS,Initial Supplement,,06244,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",Open or Active,VISTA LN \ PARKRIDGE DR,32974000,Park,Twin Peaks,8,37.75235171503818,-122.44598442613956,"(37.75235171503818, -122.44598442613956)"
2018/12/01 04:00:00 PM,2018/12/01,16:00,2018,Saturday,2018/12/01 06:13:00 PM,74365906244,743659,180907772,183352915,II,Initial,,06244,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",Open or Active,04TH ST \ FOLSOM ST,23938000,Southern,South of Market,6,37.782024266168385,-122.40115971954746,"(37.782024266168385, -122.40115971954746)"
2018/12/01 05:30:00 PM,2018/12/01,17:30,2018,Saturday,2018/12/01 08:36:00 PM,74368406244,743684,180908065,183353437,II,Initial,,06244,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",Open or Active,STEINER ST \ POST ST,26614000,Northern,Japantown,5,37.784944005025956,-122.4347299934904,"(37.784944005025956, -122.4347299934904)"
2018/12/01 07:30:00 PM,2018/12/01,19:30,2018,Saturday,2018/12/01 10:59:00 PM,74371306244,743713,180908269,183353915,II,Initial,,06244,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",Open or Active,BRANNAN ST \ ZOE ST,23828000,Southern,South of Market,6,37.779296389723044,-122.3953038732683,"(37.779296389723044, -122.3953038732683)"
2018/12/01 04:30:00 PM,2018/12/01,16:30,2018,Saturday,2018/12/01 06:19:00 PM,74366506243,743665,180907807,183353003,II,Initial,,06243,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, $200-$950",Open or Active,SKYLINE BLVD \ JOHN MUIR DR,23323000,Taraval,Lakeshore,7,37.71895555784868,-122.50022095522831,"(37.71895555784868, -122.50022095522831)"
2018/12/01 03:25:00 PM,2018/12/01,15:25,2018,Saturday,2018/12/01 07:03:00 PM,74370306244,743703,180907904,183353103,II,Initial,,06244,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",Open or Active,BAY ST \ TAYLOR ST,25524000,Central,North Beach,3,37.8054171710477,-122.41524148656329,"(37.8054171710477, -122.41524148656329)"
2018/12/01 06:00:00 PM,2018/12/01,18:00,2018,Saturday,2018/12/02 12:14:00 AM,74372106244,743721,180908388,183360040,II,Initial,,06244,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",Open or Active,THE EMBARCADERO \ BATTERY ST \ LOMBARD ST,24819000,Central,Financial District/South Beach,3,37.804072249404626,-122.4019734281221,"(37.804072249404626, -122.4019734281221)"
2018/12/01 10:00:00 PM,2018/12/01,22:00,2018,Saturday,2018/12/02 01:45:00 AM,74373106242,743731,180908526,183360225,II,Initial,,06242,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, $50-$200",Open or Active,ELMIRA ST \ SHAFTER AVE,33649000,Bayview,Bayview Hunters Point,10,37.73850009473432,-122.40388206741498,"(37.73850009473432, -122.40388206741498)"
2018/12/01 11:00:00 AM,2018/12/01,11:00,2018,Saturday,2018/12/01 12:53:00 PM,74376106244,743761,186276773,,II,Coplogic Initial,true,06244,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",Open or Active,LOMBARD ST \ LARKIN ST,25566000,Central,Russian Hill,2,37.80175841597838,-122.42125755912416,"(37.80175841597838, -122.42125755912416)"
2018/12/01 07:30:00 PM,2018/12/01,19:30,2018,Saturday,2018/12/01 08:54:00 PM,74377306244,743773,186276955,,II,Coplogic Initial,true,06244,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",Open or Active,POST ST \ LARKIN ST,25167000,Central,Tenderloin,6,37.787037946181535,-122.41827098126804,"(37.787037946181535, -122.41827098126804)"
